Particulars,Building,"Jigs &
Fixtures","Electric
Installation","Plant and
equipment","Furniture
and fixtures",Computers,Vehicles,"Leasehold
improvements","Office
equipment",Total
"Balance as at 01 April 2022
Additions
Capitalised during the year","-
0.06
0.06","-
8.36
8.35","-
2.84
2.57","1.20
139.96
120.00","0.20
11.10
11.30","0.20
29.83
30.01","-
0.62
0.62","0.10
19.32
15.72","0.40
6.93
7.22","2.10
219.02
195.85"
Balance as at 31 March 2023,-,0.01,0.27,21.16,-,0.02,-,3.70,0.11,25.27
"Additions
Capitalised during the year","1.48
1.48","10.31
10.18","4.31
4.58","320.67
313.79","7.06
7.06","31.20
31.15","1.13
1.13","21.81
22.89","9.45
8.72","407.42
400.98"
Balance as at 31 March 2024,-,0.14,-,28.04,-,0.07,-,2.62,0.84,31.71
"Additions
Capitalised during the year","-
-","53.62
53.37","1.11
1.11","428.38
442.56","29.55
8.67","24.70
24.77","1.14
0.79","27.73
26.64","6.24
7.08","572.47
564.99"
Balance as at 31 March 2025,-,0.39,-,13.86,20.88,-,0.35,3.71,-,39.19
"Additions
Capitalised during the period",,"30.97
31.35","0.41
0.41","592.27
603.98","14.19
35.07","39.95
39.95","0.21
0.56","36.34
36.20","5.49
3.95","719.83
751.47"
"Balance as at 31 December
2025",-,0.01,-,2.15,-,-,-,3.85,1.54,7.55
