"Fair value of plan assets at the beginning of the
period/year",21.60,20.71,18.91,17.70
Expected return on plan assets,1.05,1.46,1.36,1.31
Employer contributions,-,0.81,1.10,0.79
Benefits paid,(2.24),(1.30),(0.53),(0.71)
Expenses debited by LIC,(0.04),(0.06),-,-
Actuarial gain/(loss) on plan assets,0.05,(0.02),(0.13),(0.18)
"Fair value of plan assets at the end of the
period/year",20.42,21.60,20.71,18.91
