,"December 31, 2025",,(₹ million),(₹ million)
,(₹ million),,,
Net cash from operating activities (A),671.20,909.13,607.49,776.74
Net cash (used in) / generated from investing activities (B),(796.90),"(1,047.51)",(590.54),(508.52)
Net cash generated from / (used in financing activities) (C),191.64,128.63,(13.99),(244.77)
"Net (decrease) / increase in cash and cash equivalents
(D=A+B+C)",65.94,(9.75),2.96,23.45
Cash and cash equivalents at the beginning of the period/year,25.36,35.11,32.15,8.70
Cash and cash equivalents at the end of the period/year,91.30,25.36,35.11,32.15
