Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,,-1426.38,,,1763.15,
2024,,98.36,7220.83,4338.45,4461.47,186.24
2025,,64.26,10311.04,100.0,6935.31,1.19
