Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,,-1426.38,,,1763.15,,,,,,
2024,,98.36,7220.83,4338.45,4461.47,186.24,0.04174408883170794,,1.3621702768241324,,-106.89577812364166
2025,,64.26,10311.04,100.0,6935.31,1.19,0.00017158569696235638,,0.6232155049345168,,-34.66856445709637
