Particulars,Consolidated Group,,,,Total
,"Innovision
Limited","Aerodrone
Robotics Private
Limited","Innovision
International Pvt
Ltd","Innovision HR
Consultancy LLC",
"Net Assets
% of Net Assets
Profit before tax
% of Profit before tax
Other comprehensive income
% of Other comprehensive income
Total comprehensive income
% of Total comprehensive income","817.17
99.81%
405.99
103.97%
5.05
100.00%
310.66
105.21%","1.45
0.18%
(6.45)
-1.65%
-
0.00%
(6.33)
-2.14%","0.11
0.01%
(7.20)
-1.84%
-
0.00%
(7.20)
-2.44%","0.03
0.00%
(1.86)
-0.48%
-
0.00%
(1.86)
-0.63%","818.76
100%
390.48
100%
5.05
100%
295.28
100%"
