Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Current] Unsecured
Trade receivables
Trade receivables from contract with customers
Unbilled receivables from contract with customers
Disputed
Less: Impairment allowance","889.97
504.07
53.09","708.89
295.93
63.32","401.18
153.31
73.82","354.69
131.59
75.14"
,"1,447.13
-","1,068.14
-","628.31
-","561.42
-"
Total,"1,447.13","1,068.14",628.31,561.42
