Particulars,"30 September 2025
USD","31 March 2025
USD","31 March 2024
USD","31 March 2023
USD"
"Financial liabilities
Borrowings (Absolute Figures)",,-,"2 4,15,969",-
Gross exposure to foreign currency risk (Liabilities),-,-,"2 4,15,969",-
"Net exposure to foreign currency risk -
Asset/ (Liabilities)",-,-,"( 24,15,969)",-
