Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Cash-on-hand
Balances with banks in:
Current accounts
Other bank accounts (CC Limit accounts having debit balance)
Escrow accounts#
Deposits account (maturing within a period of 3 months)","5.74
3.30
21.78
10.99
25.30","3.05
27.80
2.65
2.08","10.03
22.64
8.78
0.85
0.70","1.69
0.11
6.98
0.85
222.24"
,,35.46,,
Total,6 7.10,71.04,43.00,231.87
