Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Actuarial (gains)/losses arising from
changes in demographic assumptions
Actuarial (gain)/loss due to changes in financial assumptions
Actuarial (gain)/loss on account of experience adjustments
Return on plan assets excluding amounts included in interest income","-
(5.96)
-
-","-
(6.74)
-
-","-
(0.55)
2.16
-","-
(29.31)
21.15
-"
Total actuarial (gain)/loss recognised in OCI,(5.96),(6.74),1.61,(8.17)
