Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Interest income on
Fixed deposits with banks
Income tax refund
Financial assets carried at amortised cost
Other non-operating income
Profit from sale of property, plant and equipment
Profit from sale of investment (net)
Gain on investments measured at fair value transfer to profit & loss account
Dividend
Provision no longer required
Discount received
Interest income on disputed receivable
Compensation received
Gain on lease liability
Rental Income",,"23.59
2.25
0.05
0.16
-
-
-
0.32
-
-
0.23
-
1.55","17.00
-
0.05
-
-
-
-
-
-
-
-
-
0.96","12.03
4.16
0.02
-
4.43
(1.31)
0.19
-
-
-
-
-
1.07"
,"13.56
15.41
-",,,
,"0.00
-
-
-
0.17
0.01
1.00
-
0.05
0.87",,,
Total,31.08,28.15,18.01,20.59
