Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Interest expense on Lease liabilities
Interest on loans and processing charges
Interest to MSMEs
Delayed payment of taxes","0.15
48.39
0.37
8.82","0.48
75.80
0.17
25.36","0.70
53.60
0.35
14.85","0.29
39.15
-
12.09"
Total,57.73,101.81,69.50,51.53
