Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Discount rate
Increase by 50 basis points
Decrease by 50 basis points
Salary increase
Increase by 50 basis points
Decrease by 50 basis points
Employee turnover
Increase by 50 basis points
Decrease by 50 basis points","(0.70)
0 .73
0 .73
(0.71)
-
-","(0.71)
0.74
0.72
(0.70)
-
-","(0.42)
0.43
0.42
(0.41)
-
-","(0.44)
0.46
0.37
(0.37)
-
-"
