Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Bank guarantee
Claims against the Company / disputed liability not acknowledge as debt *
Cases under Negotiable Instrument Act, 1881 #
Capital commitments to the extent not provided for","4 38.43
-
-
-","405.19
-
-
-","302.31
-
0.88
-","125.04
-
0.88
-"
