Particulars,Consolidated Group,,Total
,"Innovision
Limited","Aerodrone
Robotics Private
Limited",
"Net Assets
% of Net Assets
Profit before tax
% of Profit before tax
Other comprehensive income
% of Other comprehensive income
Total comprehensive income
% of Total comprehensive income","522.00
99.72%
111.69
101.88%
16.21
100.00%
121.00
101.74%","1.48
0.28%
(2.06)
-1.88%
-
0.00%
(2.07)
-1.74%","523.48
100%
109.63
100%
16.21
100%
118.93
100%"
