Particulars,"For the six
months period
ended",For the year ended,,,Variance,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023,Amount,%,Reason
Share capital,189.00,189.00,189.00,13.50,-,0.00%,-
Net worth (2),"1,023.33",818.76,523.48,402.55,295.28,56.41%,"Increased due to increase
in accumulated profits"
Revenue,"4,799.96","8,931.31","5,103.26","2,555.65","3,828.05",75.01%,"Increased due to new
clients in the manpower &
skilla segment & increased
number of tolls in the FY
2025."
Profit after tax,200.04,290.23,102.72,88.81,187.51,182.54%,"Due to increase in sales &
better margins with the
newer clients."
Earnings per share (3),10.82,15.62,6.29,5.01,9 .33,148.33%,"Increased due to increase
in profits"
Net assets value per equity share (4),54.14,43.32,27.70,21.29,15.62,56.41%,"Increase due to increase
in total assets."
Total borrowings,"1,123.94",790.51,481.46,333.38,309.05,64.19%,"Higher borrowings in the
CY due to increase in
working capital
requirements."
Return on Net worth (5),19.55%,35.45%,19.62%,22.06%,0 .16,80.65%,"Increased due to increase
in profits"
EBITDA (6),304.22,517.51,196.60,163.61,320.91,163.23%,"Increased due to increase
in profits"
