Particulars,"Innovision International Private
Limited
(CIN:U52291DL2024PTC430507)",,Innovision,,"Aerodrone Robotics Private
Limited
(CIN:U26515DL2021PTC379090)"
,,,HR,,
,,,Consultancy,,
,,,L.L.C.,,
Total assets*,0.82,0.38,,,9.49
Total loss*,8.37,3.12,,,10.29
