Particulars,Consolidated Group,,,,Total
,"Innovision
Limited","Aerodrone
Robotics Private
Limited","Innovision
International Pvt
Ltd","Innovision HR
Consultancy LLC",
"Net Assets*
% of Net Assets*
Profit before tax
% of Profit before tax
Other comprehensive income
% of Other comprehensive income
Total comprehensive income
% of Total comprehensive income","1,092.76
106.78%
242.22
102.75%
4.53
100.00%
211.06
103.17%","(49.67)
-4.85%
(6.51)
-2.76%
-
0.00%
(6.51)
-3.18%","(16.64)
-1.63%
(1.17)
-0.50%
-
0.00%
(1.17)
-0.57%","(3.12)
(0.003)
1.19
0.50%
-
0.00%
1.19
0.58%","1,023.33
100%
235.73
100%
4.53
100%
204.57
100%"
