Particulars,Consolidated Group,,Total
,"Innovision
Limited","Vetted
Consultant
Private Limited",
"Net Assets
% of Net Assets
Profit before tax
% of Profit before tax
Other comprehensive income
% of Other comprehensive income
Total comprehensive income
% of Total comprehensive income","402.56
100.00%
105.06
101.94%
5.79
100.00%
96.60
102.11%","(0.01)
0.00%
(2.00)
-1.94%
-
0.00%
(2.00)
-2.11%","402.55
100%
103.06
100%
5.79
100%
94.60
100%"
