Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Manpower outsourcing charges
Fees and subscription
House keeping & facility management
Conveyance & travelling charges
Foreign travelling expenses
Vehicle running & maintenance expenses
Printing & stationary
Software expenses
Legal and professional fees
Bank charges
Rates and taxes
Expense for increase in authorised share capital
Background verification expenses
Business promotion expenses
Office maintenance expense
Repairs and maintenance
Insurance expense- drone
Foreign exchange loss
Incorporation expenses
Payment to auditors
Balance written off
Communication expense
Donation
Power and fuel","1.35
2.83
1.53
7.57
0.19
1.61
0.97
0.52
4.55
0.06
3.24
-
1.38
1.40
0.51
3.49
0.01
0.01
-
1.00
0.03
1.73
-
11.75","-
4.75
5.36
11.95
0.72
2.77
2.04
1.60
10.08
0.03
0.44
0.54
-
6.79
-
5.52
-
0.00
1.85
4.33
0.05
3.78
1.00
18.26
0.00
9.32
0.11
1.99
0.76
-","9.40
1.08
3.17
8.79
0.73
1.62
1.55
0.90
11.16
-
7.26
2.12
-
0.44
0.14
5.99
-
0.26
-
4.50
0.27
2.34
0.46
11.82
0.01
8.06
-
1.68","7.43
0.02
3.58
6.01
-
1.38
1.14
-
5.09
-
3.42
-
0.13
0.26
-
1.82
-
-
-
0.47
8.22
1.84
-
2.14
-
9.53
-
1.55
0.41
-"
Loss on sale of fixed assets,0.00,,,
"Lease rent
Brokerage expenses
Corporate social responsibility
Miscellaneous expenses
Bad debts
Training expense",6.02,,,
,0.03,,,
,-,,,
,0.83,,1.24,
,12.57,,,
,-,,-,
Total,65.20,94.04,84.99,54.43
