Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Gross amount required to be spent
Shortfall at the end of previous year
Amount required to be spent on
Construction/acquisition of any asset
Purpose other than above","-
-
-
-","1.99
-
-
1.99","1.68
-
-
1.68","1.54
0.01
-
1.55"
"Details of related party transaction. e.g.,contribution to
a trust controlled by the Company in relation to CSR",-,1.62,1.68,1.05
