Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Interest expense on lease liabilities
Depreciation of right-of-use assets
Expense relating to short-term leases","0.15
2.36
6.02","0.48
4.33
9.32","0.70
3.97
8.06","0.29
1.31
9.53"
