Particulars,Outstanding for following period from the date of,,,,,Total
,"Unbilled
dues",< 1 year,"1-2
years","2-3
years","> 3
years",
"30/Sep/2025
Micro and small enterprises, undisputed
Others - undisputed","-
-","7.99
1.68","0.00
0.38","0.00
0.00","-
-","7 .99
2.06"
"31/Mar/2025
Micro and small enterprises, undisputed
Others - undisputed","-
-","6.69
9.08","-
0.06","0.05
-","-
-","6 .74
9.14"
"31/Mar/2024
Micro and small enterprises, undisputed
Others - undisputed","-
-","10.63
6.95","0.07
0.00","0.54
-","-
-","1 1.24
6 .95"
"31/Mar/2023
Micro and small enterprises, undisputed
Others - undisputed","-
-","6.98
1.17","0.54
0.03","-
0.00","-
1.16","7 .52
2 .35"
