Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Discount rate
Salary escalation rate
Rate of employee turnover-Staff
Rate of employee turnover-Contractual
Retirement age in years
Mortality rate during employment","5.79%
5.00%
5.00%
80.00%
58","6.39%
5.00%
5.00%
80.00%
58","7.08%
5.00%
5.00%
80.00%
58","7.08%
5.00%
5.00%
80.00%
58"
,100% of IALM 2012-14,,,
