Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Unsecured, current]
Loans to related parties, considered good
Loans and advance to employees, considered good","-
2.71",,"-
0.34","-
0.68"
,,"-
0.65",,
Total,2.71,0.65,0.34,0.68
