Particulars,"As at April 01,
2025",Cash Flows (Net),Non-cash Changes,,"As at
September 30, 2025"
,,,Net Addition,Other Adjustments,
Lease liabilities (non-current and current liabilities) (Refer note 5),303.92,(67.91),1 25.92,13.49,375.42
Borrowings (Refer note 14 (A)),"3,306.27",522.86,-,-,"3,829.13"
,"3,610.19",124.67,125.92,13.49,"4,204.55"
