Particulars,Reserves and surplus,,"Other
comprehensive
income/ (loss)","Equity
attributable to
the equity
holders of the
parent company","Non controlling
interest",Total
,"Retained
earnings","Securities
premium","Foreign exchange
translation reserve",,,
"As at April 01, 2022
Add: Restated profit for the year
Restated other comprehensive income/(loss) for the year (net of taxe
As at March 31, 2023
As at April 01, 2023
Add: Restated profit for the year
Restated other comprehensive income/(loss) for the year (net of taxe
Less : Issue of Bonus shares
As at March 31, 2024
As at April 01, 2024
Add: Restated profit for the year attributable to owners of parent
Restated other comprehensive income/(loss) for the year (net of taxe
Issue of equity shares
Equity participation - non-controlling interest
Restated (loss) of the year pertaining to non-controlling interest
As at March 31, 2025
As at April 01, 2025
Add: Restated profit for the period attributable to owners of parent
Restated other comprehensive income/(loss) for the period (net of ta
Restated (loss) of the period pertaining to non-controlling interest
As at September 30, 2025","223.76
322.92
s 2.33","-
-
-","-
-
0.37","223.76
322.92
2.70","-
-
-","223.76
322.92
2.70"
,"5 49.01
5 49.01
1 89.08
s -
( 450.00)","-
-
-
-
-","0 .37
0 .37
-
6 .29
-","5 49.38
5 49.38
1 89.08
6 .29
( 450.00)","-
-
-
-
-","5 49.38
549.38
189.08
6.29
( 450.00)"
,"288.09
2 88.09
4 38.87
s ( 0.99)
-
-
-
725.97","-
-
-
-
7 92.13
-
-
792.13","6.66
6 .66
-
( 14.60)
-
-
-
( 7.94)","294.75
2 94.75
4 38.87
( 15.59)
7 92.13
-
-
1,510.16","-
-
-
-
-
0 .24
( 0.22)
0.02","294.75
294.75
438.87
( 15.59)
792.13
0.24
( 0.22)
1,510.18"
,"-
7 25.97
2 77.90
x 0 .52
-","7 92.13
-
-
-","( 7.94)
-
( 13.18)
-","1 ,510.16
2 77.90
( 12.66)
-","0 .02
-
-
( 0.11)","1,510.18
277.90
( 12.66)
( 0.11)"
,"1,004.39",792.13,( 21.12),"1,775.40",( 0.09),"1,775.31"
