Particulars,"As at
March 31, 2024","As at
March 31, 2023"
"Other equity (as per audited - March 31, 2024, as per special purpose audited - March 31, 2023)
Rectification of prior period errors and omissions (Note 2)
Restatement adjustments (total adjustments of profit and loss as per below)","312.41
7.21
(24.87)","5 62.32
0 .49
( 13.43)"
Other equity as per restated consolidated statement of assets and liabilities,294.75,549.38
