Particulars,"As at April 01,
2023",Cash Flows (Net),Non-cash Changes,,"As at
March 31, 2024"
,,,Net Addition,Other Adjustments,
Lease liabilities (non-current and current liabilities) (Refer note 5),138.61,(46.63),1 3.12,207.76,312.86
Borrowings (Refer note 14 (A)),888.11,"1,416.76",-,-,"2,304.87"
,"1,026.72","1,370.13",13.12,207.76,"2,617.73"
