Particulars,"As at April 01,
2022",Cash Flows (Net),Non-cash Changes,,"As at March 31, 2023"
,,,Net Addition,Other Adjustments,
Lease liabilities (non-current and current liabilities) (Refer note 5),6 0.77,(17.98),5 .95,89.87,138.61
Borrowings (Refer note 14 (A)),745.46,142.65,-,-,888.11
,806.23,124.67,5.95,89.87,"1,026.72"
