Particulars,"For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Profit for the year after tax (as per audited - March 31, 2024, as per special purpose audited - March
31, 2023) [A]
Add:
Impact due to capitalization of tooling & equipments - (Note 1)
Less:
Impact on closing stock on account of capitalization of tooling &
equipments - (Note 1)
Depreciation on tooling & equipments - (Note 1)
Rectification of prior period errors and omissions (Note 2)
Impact on account of recalculation of deferred taxes ( Note - 3)","206.81
28.25
(28.25)
(12.84)
4.77
(3.37)","3 36.70
1 4.08
( 14.08)
( 10.04)
0 .11
( 1.15)"
Total of restated adjustments [B],(11.44),(11.08)
Restated profit after tax for the year [A+B],195.37,325.62
