Accrued interest and dividend receivable,5 4.8,9 0.6,9 6.5,169.3,194.8
Security Deposits,280.2,334.6,371.8,332.6,306.6
Receivable against sale of investments,31.8,136.5,52.5,-,31.6
Total,366.8,561.7,520.8,501.9,533.0
