Particulars,,"As of September 30,",,,,"As of March 31,",,,,,,,
,,2025,2024,,,2025,,,2024,,,2023,
,,(₹ in million),,,,,,,,,,,
Security deposits,280.2,,334.6,,371.8,,,332.6,,,306.6,,
Staff loans,2.2,,2.1,,2.4,,,2.6,,,1.9,,
Receivables,"1,720.8",,"1,510.6",,"2,374.9",,,"1,959.7",,,"1,124.3",,
Cash and cash equivalents,72.5,,367.3,,154.4,,,231.1,,,314.5,,
Fixed deposits with banks,130.2,,120.9,,125.7,,,107.0,,,-,,
