"Indirect Tax Matters disputed by the
Company",2 .8,168.3,2.0,15.9,1.9
Employee Related Matter,40.5,40.5,40.5,40.5,40.5
Performance Bank Guarantee,100.0,100.0,100.0,100.0,-
Financial Bank Guarantee,0 .5,-,0.5,-,-
