Accounting profit before tax,"21,494.8","17,880.9","35,330.5","26,981.1","20,071.7"
"At statutory income tax rate of 25.17%
(As at March 31, 2025 - 25.17%
As at September 30, 2024 - 25.17%
As at March 31, 2024 - 25.17%
As at March 31, 2023 - 25.17%)","5,410.2","4,500.6","8,892.7","6,791.1","5,052.0"
"Adjustment in respect of income tax of prior
period / year",-,-,-,(26.9),-
"Tax effect on (Income)/Expense not subject to
tax",,,,,
Capital gain-Rate Difference,(157.6),54.0,(141.8),(351.8),(219.5)
CSR and others,64.8,55.2,73.0,71.4,81.4
"Income tax expense reported in the Statement of
Profit and Loss","5,317.4","4,609.8","8,823.9","6,483.8","4,913.9"
Effective Tax Rate (%),24.7,25.8,25.0,24.0,24.5
