Depreciation charge of right of use assets,,,,,
Buildings,204.6,1 87.7,387.8,330.8,271.3
Total (refer note 28),204.6,1 87.7,3 87.8,330.8,2 71.3
The total cash outflow of leases,280.1,2 69.9,559.5,498.0,445.0
Amount due within one year,483.0,5 34.5,543.0,412.6,406.4
More than one year,"1,673.5","1,899.5","1,705.3","1,520.0","1,133.2"
Total,"2,156.5","2,434.0","2,248.3","1,932.6","1,539.6"
