Rent,-,5.3,10.2,1.0,2 4.6
Repairs and maintenance,,,,,
-- Equipment,8.3,8.6,20.9,23.1,1 9.4
-- Others,40.2,4 0.9,84.7,69.1,5 6.0
Communication expenses,1 08.8,104.3,203.5,179.5,169.2
Printing and stationery,23.2,2 3.6,49.0,35.8,3 5.0
Marketing advertisement and publicity,1 56.1,149.8,383.7,261.5,276.7
"Director’s Fees, allowances and expenses",4.1,3.0,17.3,14.1,1 1.2
Auditor’s Fees [refer a) below],4.1,3.2,6.4,5.4,5.0
Legal and Professional charges,70.9,5 8.7,148.0,106.5,8 9.4
Insurance,8.1,6.8,14.6,11.6,1 1.8
Travelling and conveyance expenses,1 23.4,8 6.1,203.9,186.6,148.7
Business promotion expenses,2 02.0,173.0,397.2,399.6,341.7
Business operational expenses,1 95.1,216.6,467.3,285.7,215.8
Rates and taxes,1 62.4,110.1,521.4,166.7,157.9
Electricity expenses,37.2,2 9.6,69.0,55.7,4 7.1
Information technology,4 28.7,324.5,681.5,577.7,395.1
"Corporate Social Responsibility (CSR)
expenses [refer b) below]",2 60.8,210.9,421.9,361.5,323.4
Training expense,26.0,2 7.1,76.7,80.2,3 3.8
Housekeeping expenses,1 02.4,102.1,198.6,164.7,134.0
NFO filing fees,2.2,7.2,11.8,1.6,1 1.0
SEBI fees,5.0,5.0,10.0,10.0,1 0.0
Miscellaneous expenses,21.8,4 4.6,92.9,69.1,6 4.6
Total,"1,990.8","1,741.0","4,090.5","3,066.7","2 ,581.4"
