Name of the statute,Nature of dues,"Gross Amount
(` in million)","Amount paid
under Protest
(` in million)","Period to which the
amount relates","Forum where dispute is
pending","Remarks, if
any"
"Service Tax Act,1994",Service Tax,1.9,-,"April 2011 to March
2013","Custom, Excise & Service
Tax Appellate Tribunal",-
"The Central Goods and Services Tax
Act, 2017 (Maharashtra)",GST,13.9,4.7,"July 2017 to March
2018","Deputy Commissioner of
Commercial Taxes",-
"The Central Goods and Services Tax
Act, 2017 (Karnataka)",GST,57.4,-,"July 2017 to March
2018","Deputy Commissioner of
Commercial Taxes",-
