Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,13860.9,2966.6,,,12176.5,,,21.402650621532512,,,
2024,17326.9,5032.3,,,20418.515916,0.0,0.0,29.04327952490059,,25.00559126752233,69.63190184049081
2025,21027.6,6669.1,,,17640.0,0.0,0.0,31.715935247008698,,21.358119455874956,32.525882797130535
