Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,13860.9,2966.6,,,12176.5,
2024,17326.9,5032.3,,,20418.515916,0.0
2025,21027.6,6669.1,,,17640.0,0.0
