"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(32,018.10)","(32,911.50)","(32,166.20)"
2,Fair value of plan assets (FVA),"24,130.80","23,944.00","22,689.30"
3,Funded status [surplus/(deficit)],"(7,887.40)","(8,967.60)","(9,476.90)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(7,887.40)","(8,967.60)","(9,476.90)"
