"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
1,"OpeningBalanceatthebeginningof
the Year","2 ,323.60","2,824.70","1,127.60"
2,Add: Investment during the Period/Year,"7 ,610.00","6,830.00","6,950.00"
3,"Add: Interest earned during the
Period/Year",1 69.50,178.50,155.60
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",9 .00,9.60,8.50
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year","8 ,550.00","7,500.00","5,400.00"
6,"Closing Balance at the end of the
Period/Year","1 ,544.10","2,323.60","2,824.70"
