"Eradicating hunger, poverty and malnutrition",10.00,41.70,206.20,62.50,93.00
"Promoting education, including special education and
employment enhancing vocational skills",26.20,14.20,75.60,37.40,38.80
"Gender equality and measures for reducing inequalities
faced by socially and economically backward groups",-,-,2.50,0.50,-
Environmental Sustainability,-,-,-,-,-
"Protection of National heritage, art and culture",-,0.50,0.60,0.50,-
"Benefit of Armed forces veterans, war widows and their
dependents",-,-,-,-,-
"Training to promote rural sports, nationally recognised
sports, Paralympic sports and Olympic sports",-,-,0.20,-,-
"ContributiontofundsetupbytheCentralGovernmentfor
socio economic development",-,-,-,-,-
"Contribution to incubators or research and development
projects",-,-,-,-,-
Contributions to Universities and Research Institutes,-,-,-,-,-
Rural development projects,-,-,1.60,-,1.80
Slum area development,-,-,-,-,-
"Disaster Management, including relief, rehabilitation and
reconstruction activities",-,-,-,-,-
Total,36.20,56.40,286.70,100.90,133.60
