,Six Months period,Six Months period,Fiscal 2025,Fiscal 2024,Fiscal 2023
,ended September,"ended September 30,",,,
Particulars,,,,,
,"30, 2025",2024,,,
,"(in ₹ million, unless otherwise stated)",,,,
Profit before tax (A),"1,993.40","11,240.40","17,028.90","20,916.70","5,301.90"
Finance Costs (B),600.50,321.90,724.90,618.30,556.90
"Depreciation / Amortization
/ Impairment (C)","2,005.40","2,172.40","5,806.80","3,403.90","3,054.30"
"Earnings before interest,
taxes, depreciation, and
amortization (D = A + B +
C)","4,599.30","13,734.70","23,560.60","24,938.90","8,913.10"
Total Income (E),"63,115.10","70,907.00","14,4016.30","146,525.30","130,185.70"
EBITDA Margin (F = D/E),7.29%,19.37%,16.36%,17.02%,6.85%
