Freehold Land,"1,288.00","Only in case of Directly
purchased by company
(1147.455 Ha)",Not Applicable,Different dates,"1.Outofthetotal(freehold&otherland)of18682.195Hainthe
possessionofBCCL,17840.084Halandconstitutesfreeholdlandand
842.111 Ha other land.
2.16692.629HaoffreeholdlandacquiredonNationalizationofCoal
MinesaswellastakingoverofCoalMinesLabourWelfareOrganization
including Central Hospital and four other Hospitals, Mines Rescue
StationsofGovt.ofIndia,fourWasheriesofSAIL,erstwhileCoalBoard
and CentralJhariaProjectshavebeentransferredtotheCompanybythe
Govt.of India.Thequestionofmutationofland acquiredunderCoal
Mines (Nationalization) Act 1972 as well as Coal Bearing Areas
(Acquisition&Development)Act1957,doesnotariseinlaw,asitsright,
titleandinterestremainsvestedabsolutelyintheCentralGovernment,
which is, on transfer, exercised by BCCL, a Government Company.
3.Allothertitledeedsforlandacquiredareinpossessionandaremutated
infavourofcompanyexceptinfewcasesoffreeholdlands,wheresameis
under progress pending legal formalities."
Other Land,332.10,Not Applicable,Not Applicable,Different dates,"838.247Halandisinthecategoryofotherlandwhichwereacquiredin
pursuancetoCoalMines(Nationalisation)Act1973,underCoalBearing
Areas(AcquisitionandDevelopment)Act,1957andLandAcquisitionAct,
1894 that does not require title deeds separately for corresponding land.
3.864HaofRailwaylandatLoyabadstationistakenonleaseforaperiod
of 35 years from March 2022."
