Name of the Related Party,Loan to Related Party,"Loan from Related
Party","Current Account
Balances (Payable) /
Receivable","Outstanding Balances
(Payables) /
Receivables"
CIL,0.00,0.00,(3613.80),0.00
IICM,0.00,0.00,0.00,(7.50)
CMPDIL,0.00,0.00,0.00,(530.70)
