B,Salary Escalation Rate,,,
,Salary Escalation Rate as at March 31,"Executives : 9%
Non-Executives :
6.25%","Executives : 9%
Non-Executives : 6.25%","Executives : 9%
Non-Executives : 6.25%"
1,"EffectonDBOdueto0.5%increasein
Salary Escalation Rate",409.20,389.50,321.40
,Percentage Impact,4%,4%,4%
2,"EffectonDBOdueto0.5%decreasein
Salary Escalation Rate",(381.30),(363.90),(300.40)
,Percentage Impact,4%,4%,-4%
