"Descriptio
n
of
property","Gross
carrying
value.
(in ₹
Million)","Held in
Name of","Whether
promoter,
director
or their
relative
or
employe
e","Period
held –
indicate
range,
where
appropri
ate","Reason for not
being held in
name of the
Company",
,,,,,"produced of 42.72
acres with relation
to the Company’s
ownership.",
"Other
Land",404.30,"Not
Applicable","Not
Applicabl
e","Different
dates",,3.864 Ha of
,,,,,,Railway land at
,,,,,,Loyabad station is
,,,,,,taken on lease for
,,,,,,a period of 35
,,,,,,years from March
,,,,,,2022.
