"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(8,104.40)","(7,586.00)","(7,058.80)"
2,Fair value of plan assets (FVA),"4,788.30","4,122.40","3,332.30"
3,Funded status [surplus/(deficit)],"(3,316.10)","(3,463.60)","(3,726.50)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(3,316.10)","(3,463.60)","(3,726.50)"
