Particulars,Non-current Borrowings*,Non-current Borrowings*,Non-current Borrowings*,Finance Lease Liabilities,Current borrowings
"Opening balance as at April 01, 2024
Cash flows during the year
Non-cash changes due to:
Acquisitions and unwinding finance cost under finance lease
Interest on borrowings
Variation in exchange rates
Transaction costs on borrowings",,,,"2 ,302.30
( 446.80)
7 38.90",
"Closing balance as at September 30, 2024",-,-,-,"2 ,594.40",-
