Category of borrowing,,Amount Sanctioned,,,Amount Outstanding (in ₹,
,,(in ₹ million),,,million),
Secured,,,,,,
Overdraft against fixed deposit,"5,660.03",,,-,,
Working capital facility,"4,300.00",,,-,,
Unsecured,,,,,,
Working capital demand loan,"22,500.00",,,"15,000.00",,
Working capital facility,"63,700.00",,,"12,365.64",,
Short-term loan,500.00,,,-,,
Total,"96,660.03",,,"27,365.64",,
