Particulars,"Net Carrying Value at
the beginning of the
year","Addition during the
year / period","Deletion during the year
/ period","Net Carrying
Value at the
closing of the
year","Depreciation/
Amortisation for
the year"
Land,250.40,10.30,,257.00,3.70
Building,-,,,-,
Plant and Equipment,-,,,-,
Furniture and Fixtures,-,,,-,
Vehicles,785.90,157.70,,827.80,115.80
Office Equipment,-,389.00,,155.30,233.70
Telecommunication,918.00,,,918.00,
Railway Sidings,185.90,,,159.40,26.50
Rail Corridor,-,,,-,
Intangible Assets,-,,,-,
