Particulars,Non-current Borrowings*,Non-current Borrowings*,Non-current Borrowings*,Finance Lease Liabilities,Current borrowings
"Opening balance as at April 01, 2025
Cash flows during the year
Non-cash changes due to:
Acquisitions and unwinding finance cost under finance lease
Interest on borrowings
Variation in exchange rates
Transaction costs on borrowings",,,,"2 ,331.70
( 282.10)
4 34.10",
"Closing balance as at September 30, 2025",-,-,-,"2 ,483.70",-
