Particulars,Reserves & Surplus,,,,,Total
,"Capital
Redemption
reserve",Capital Reserve,General Reserve,Retained Earnings,"OCI - Re-
measurement of
Defined Benefits
Plans (net of Tax)",
"Balance as at April 01, 2025",-,-,"2 ,192.10","16,750.20",( 885.00),"18,057.30"
Total Comprehensive Income,,,,"1 ,238.80",( 788.70),4 50.10
Transfers and Other Adjustments,,,6 20.00,( 620.00),,-
Interim Dividend,,,,,,-
Final Dividend,,,,"( 8,442.20)",,"- 8 ,442.20"
Corporate Dividend tax,,,,,,-
Buy Back of Shares,,,,,,
Tax on Buy back,,,,,,-
Issue of Bonus Shares,,,,,,-
"Balance as at September 30, 2025",-,-,"2,812.10","8,926.80","(1,673.70)","10,065.20"
