Sl No.,Particulars,Central Government,"State Government and
local authorities","Central Public Sector
Enterprises",Others,Total
1,"Opening as at April
01, 2024","12,076.70","11,608.10",0.00,"20,834.10","44,518.90"
2,"Additions during the
year",1.40,0.00,0.00,"2,322.40","2,323.80"
3,"Claims settled during
the year",,,,,
a.,From Opening Balance,"2,129.50",399.70,0.00,0.00,"2,529.20"
b.,"Out of addition during
the year",0.00,0.00,0.00,334.80,334.80
4,"Closing as at
September 30, 2024","9,948.60","11,208.40",0.00,"22,821.70","43,978.70"
