"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
1,"OpeningBalanceatthebeginningof
the Year","2 4,396.50","22,833.40","22,274.00"
2,Add: Investment during the Period/Year,"4 ,257.60","3,500.00","2,761.00"
3,"Add: Interest earned during the
Period/Year","1 ,896.40","1,711.20","1,613.10"
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",1 04.50,102.30,164.10
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year","6 ,222.30","3,545.80","3,650.60"
6,"Closing Balance at the end of the
Period/Year","2 4,223.70","24,396.50","22,833.40"
