Sl No,Case No.,Brief of the Case
Case-1,"CB/03/2023
Registered on
03.05.2023","Alleged irregularities in the remittance of PF and Pension
contribution at Central Hospital Dhanbad"
Case-2,"CB/04/2023
Registered on
15.05.2023","Irregular deployment of Sunday/holiday to the drovers of
water tankers and persons of auto department at Kustore"
