F,"CurrentandNon-CurrentLiability
Breakup as at March 31",,,,,
1,Current Liability,846.40,,848.60,,636.10
2,Non-Current Liability,"8 ,386.30",,"8,368.10",,"7,027.80"
3,Liability as at March 31,"9 ,232.70",,"9,216.70",,"7,663.90"
