Particulars,Note Reference,Amount as per DRHP,Amount as per RHP,"Impact of
reclassification -
Increase / (Decrease)",Reason for Re-classification
Other Operating Revenue,12.1,"9,151.90","7,192.90","(1,959.00)","ReversalofStrippingActivityProvisionhasbeenreclassifiedasOther
Operating Revenue under Note No. 12.1 i.e. Sales"
Stripping Activity Adjustment,13.6,"(5,764.00)","(7,723.00)","1,959.00",
Employee Benefits Expense,13.3,"67,137.30","65,423.74","(1,713.56)","ExpensesonaccountofPower(Domestic),SittingfeesofIndependent
Directors,GrantstoSchools&Institutions,Sports&Recreation,Hire
ChargesofBus,Ambulanceetc.hasbeenreclassifiedasOtherExpenses
under Note No. 13.8"
Other Expenses,13.8,"17,142.90","18,856.46","1,713.56",
Cash & Cash equivalents,4.4,"2,109.70","1,675.40",(434.30),"BalanceinGEMPoolAccounthasbeenreclassifiedasDepositaccountsfor
specific purpose under Note No. 4.5"
Other Bank Balances,4.5,"9,188.80","9,623.10",434.30,
