Particulars,No. of Shares,Amount
"Balance as at April 01, 2025","46,570,000","46,570.00"
Changes in Equity Share Capital during the Period*,"4,610,430,000",0.00
"Balance as at September 30, 2025","4,657,000,000","46,570.00"
