Particulars,"As at
September 30, 2025",,"As at
September 30, 2024",
,FVTPL,Amortized cost,FVTPL,Amortized cost
Financial Assets,,,,
Investments:,,,,
Secured Bonds,0.00,0.00,0.00,0.00
Co-operative Shares,0.00,0.00,0.00,0.00
Mutual Fund/ ICD,0.00,0.00,22.60,0.00
Loans,0.00,0.00,0.00,0.00
Deposits & receivable,0.00,"15,619.20",0.00,"11,376.30"
Trade receivables*,0.00,"22,025.20",0.00,"14,490.70"
Cash & cash equivalents,0.00,"4,288.70",0.00,"4,233.90"
Other Bank Balances,0.00,"6,501.90",0.00,"7,709.70"
Financial Liabilities,,,,
Borrowings & Lease Liabilities,0.00,"18,075.00",0.00,"2,594.40"
Trade payables,0.00,"28,650.40",0.00,"11,797.30"
Security Deposit and Earnest money,0.00,"6,169.20",0.00,"5,926.90"
Other Liabilities,0.00,"20,880.20",0.00,"18,629.10"
