Stripping Activity Adjustment,13.6,"6,726.70",-,"6,726.70",
Employee Benefits Expense,13.3,"73,581.20","71,479.30","(2,101.90)","ExpensesonaccountofPower(Domestic),SittingfeesofIndependent
Directors,GrantstoSchools&Institutions,Sports&Recreation,Hire
ChargesofBus,Ambulanceetc.hasbeenreclassifiedasOtherExpenses
under Note No. 13.8"
Other Expenses,13.8,"14,023.50","16,125.40","2,101.90",
Cash & Cash equivalents,4.4,"5,866.20","5,449.40",(416.80),"BalanceinGEMPoolAccounthasbeenreclassifiedasDepositaccountsfor
specific purpose under Note No. 4.5"
Other Bank Balances,4.5,"5,675.80","6,092.60",416.80,
