"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
1,"OpeningBalanceatthebeginningof
the Year","4 ,593.40","3,720.40","2,180.50"
2,Add: Investment during the Period/Year,7 8.10,553.70,"1,686.70"
3,"Add: Interest earned during the
Period/Year",3 66.80,319.30,228.90
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",0.00,0.00,0.00
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year",2 50.00,0.00,375.70
6,"Closing Balance at the end of the
Period/Year","4 ,788.30","4,593.40","3,720.40"
