Sl No.,Particulars,Central Government,"State Government and
local authorities","Central Public Sector
Enterprises",Others,Total
1,"Opening as at April
01, 2024","12,076.70","11,608.10",0.00,"20,834.10","44,518.90"
2,"Additions during the
year",306.33,677.53,0.00,"2,444.81","3,428.67"
3,"Claims settled during
the year",,,,,
a.,From Opening Balance,"4,204.99","1,468.13",0.00,50.05,"5,723.17"
b.,"Out of addition during
the year",0.04,0.00,0.00,336.96,337.00
4,"Closing as at March
31, 2025","8,178.00","10,817.50",0.00,"22,891.90","41,887.40"
